,Fuel_Type,Body_Type,Gears,Seating_Capacity,Ventilation_System,Airbags,Navigation_System,Model_Name,Mileage,Fuel_Capacity,Price
419,Petrol,Hatchback,5,5.0,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Swift,20.4,37.0,678000
420,Petrol,Hatchback,5,5.0,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Swift,20.4,37.0,725000
421,Petrol,Hatchback,5,5.0,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Swift,20.4,37.0,758000
422,Diesel,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Swift,25.2,37.0,599000
423,Diesel,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Swift,25.2,37.0,698000
424,Diesel,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Swift,25.2,37.0,745000
425,Diesel,Hatchback,5,5.0,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Swift,25.2,37.0,757000
426,Diesel,Hatchback,5,5.0,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag",None,Maruti Suzuki Swift,25.2,37.0,804000
427,Diesel,Hatchback,5,5.0,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag",Yes,Maruti Suzuki Swift,25.2,37.0,838000
428,Petrol,Hatchback,5,5.0,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag",Yes,Maruti Suzuki Swift,20.4,37.0,802000
429,Diesel,Hatchback,5,5.0,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag",Yes,Maruti Suzuki Swift,25.2,37.0,884000
430,Petrol,Hatchback,5,5.0,Manual Air conditioning with cooling and heating,"Driver frontal airbag, Front passenger frontal airbag",Yes,Tata Altroz,18.0,37.0,529000
